workload,N,dtype,device,variant,ms,speedup,compile_s,maxdiff,ok,note
spring,10000,float32,cpu,eager_fwd(lib),159.78451520204544,1.0,0.0,0.0,True,baseline
spring,10000,float32,cpu,eager_rev,69.93986684828997,2.284598504435846,0.0,0.0,True,
spring,10000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,10000,float32,cpu,compiled[fusion],0.1016249880194664,1572.295537898991,0.3091270327568054,0.0,True,
spring,10000,float32,cpu,compiled[cuda_graphs],0.09604748338460922,1663.5991862713347,0.2786792665719986,0.0,True,
spring,1000,float64,cpu,eager_fwd(lib),2.789955958724022,1.0,0.0,0.0,True,baseline
spring,1000,float64,cpu,eager_rev,1.4568274840712547,1.915090145696045,0.0,0.0,True,
spring,1000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,1000,float64,cpu,compiled[fusion],0.06179139018058777,45.151208777958644,0.30131286568939686,0.0,True,
spring,1000,float64,cpu,compiled[cuda_graphs],0.062383897602558136,44.72237333580158,0.2908365558832884,0.0,True,
spring,10000,float64,cpu,eager_fwd(lib),159.73133370280266,1.0,0.0,0.0,True,baseline
spring,10000,float64,cpu,eager_rev,129.94659394025803,1.2292075448798445,0.0,0.0,True,
spring,10000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,10000,float64,cpu,compiled[fusion],0.11703800410032272,1364.781764100181,0.3031940869987011,0.0,True,
spring,10000,float64,cpu,compiled[cuda_graphs],0.11209957301616669,1424.905817257365,0.36356692016124725,0.0,True,
area,1000,float32,cpu,eager_fwd(lib),159.79617219418287,1.0,0.0,0.0,True,baseline
area,1000,float32,cpu,eager_rev,179.9552734941244,0.8879771572762509,0.0,nan,True,
area,1000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,1000,float32,cpu,compiled[fusion],10.092411376535892,15.833299519052217,0.3788871131837368,nan,False,
area,1000,float32,cpu,compiled[cuda_graphs],20.00026758760214,7.989701712452992,0.7860549874603748,nan,False,
area,10000,float32,cpu,eager_fwd(lib),510.10589785873896,1.0,0.0,0.0,True,baseline
area,10000,float32,cpu,eager_rev,439.9117248132825,1.1595642241071205,0.0,nan,True,
area,10000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,10000,float32,cpu,compiled[fusion],10.003959387540817,50.990400710146595,0.3977664764970541,nan,False,
area,10000,float32,cpu,compiled[cuda_graphs],9.925529547035694,51.39331815410136,0.36501187831163406,nan,False,
area,1000,float64,cpu,eager_fwd(lib),160.11656243354082,1.0,0.0,0.0,True,baseline
area,1000,float64,cpu,eager_rev,219.56107690930367,0.7292575017733303,0.0,nan,True,
area,1000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,1000,float64,cpu,compiled[fusion],19.983530417084694,8.012426187549472,0.4033086746931076,nan,False,
area,1000,float64,cpu,compiled[cuda_graphs],19.95954755693674,8.022053705215072,0.37009499967098236,nan,False,
area,10000,float64,cpu,eager_fwd(lib),599.8952718451619,1.0,0.0,0.0,True,baseline
